,AAPL,TSLA,MSFT
2010-06-29,7.682808876037598,1.5926669836044312,17.580842971801758
2010-06-30,7.543649196624756,1.5886670351028442,17.354576110839844
2010-07-01,7.452173709869385,1.4639999866485596,17.467708587646484
2010-07-02,7.405989646911621,1.2799999713897705,17.5506649017334
2010-07-05,7.405989646911621,1.2799999713897705,17.5506649017334
2010-07-06,7.456670761108398,1.0740000009536743,17.965490341186523
2010-07-07,7.757782936096191,1.053333044052124,18.3275146484375
2010-07-08,7.740386486053467,1.1640000343322754,18.410486221313477
2010-07-09,7.786274433135986,1.159999966621399,18.30489158630371
2010-07-12,7.716397285461426,1.136667013168335,18.727252960205078
2010-07-13,7.551747798919678,1.2093329429626465,18.953523635864258
2010-07-14,7.579632759094238,1.3226670026779175,19.187339782714844
2010-07-15,7.541247844696045,1.3259999752044678,19.24012565612793
2010-07-16,7.4947638511657715,1.3760000467300415,18.772506713867188
2010-07-19,7.365200042724609,1.4606670141220093,19.028945922851562
2010-07-20,7.554443836212158,1.3533329963684082,19.217491149902344
2010-07-21,7.6249213218688965,1.3480000495910645,18.945981979370117
2010-07-22,7.7682785987854,1.399999976158142,19.489015579223633
2010-07-23,7.795870780944824,1.4193329811096191,19.466381072998047
2010-07-26,7.776081085205078,1.3966670036315918,19.68511390686035
2010-07-27,7.920033931732178,1.3700000047683716,19.730361938476562
2010-07-28,7.826465129852295,1.3813329935073853,19.571979522705078
2010-07-29,7.740987777709961,1.3566670417785645,19.632322311401367
2010-07-30,7.71519660949707,1.329332947731018,19.466381072998047
2010-08-02,7.853154182434082,1.3946670293807983,19.85858154296875
2010-08-03,7.8555498123168945,1.463333010673523,19.730361938476562
2010-08-04,7.887047290802002,1.4173330068588257,19.40605354309082
2010-08-05,7.848655700683594,1.363332986831665,19.13452911376953
2010-08-06,7.800368309020996,1.305999994277954,19.270294189453125
2010-08-09,7.850152015686035,1.3066669702529907,19.315547943115234
2010-08-10,7.7799763679504395,1.2686669826507568,18.908266067504883
2010-08-11,7.5034589767456055,1.1933330297470093,18.749879837036133
2010-08-12,7.551443576812744,1.1733330488204956,18.470821380615234
2010-08-13,7.470769882202148,1.2213330268859863,18.402942657470703
2010-08-16,7.4269819259643555,1.2519999742507935,18.478363037109375
2010-08-17,7.556846618652344,1.2766669988632202,18.736162185668945
2010-08-18,7.589832782745361,1.2513329982757568,18.819568634033203
2010-08-19,7.494160175323486,1.25266695022583,18.53144073486328
2010-08-20,7.486965656280518,1.273332953453064,18.37221336364746
2010-08-23,7.371799468994141,1.3420000076293945,18.41011619567871
2010-08-24,7.195749759674072,1.2799999713897705,18.228139877319336
2010-08-25,7.284524917602539,1.3266669511795044,18.273635864257812
2010-08-26,7.206249237060547,1.3166669607162476,18.061328887939453
2010-08-27,7.246438026428223,1.3133330345153809,18.144725799560547
2010-08-30,7.272824764251709,1.324666976928711,17.924840927124023
2010-08-31,7.290823459625244,1.2986669540405273,17.795944213867188
2010-09-01,7.507656097412109,1.363332986831665,18.12198829650879
2010-09-02,7.562840938568115,1.4040000438690186,18.15232276916504
2010-09-03,7.760783672332764,1.4033329486846924,18.417707443237305
2010-09-06,7.760783672332764,1.4033329486846924,18.417707443237305
2010-09-07,7.731991291046143,1.369333028793335,18.1674747467041
2010-09-08,7.885248184204102,1.3933329582214355,18.144725799560547
2010-09-09,7.889740467071533,1.380666971206665,18.20538902282715
2010-09-10,7.8999409675598145,1.3446669578552246,18.08407974243164
2010-09-13,8.008810043334961,1.3813329935073853,19.039457321166992
2010-09-14,8.039395332336426,1.4079999923706055,18.978801727294922
2010-09-15,8.104180335998535,1.4653329849243164,19.047048568725586
2010-09-16,8.294622421264648,1.3960000276565552,19.206268310546875
2010-09-17,8.258633613586426,1.348667025566101,19.122859954833984
2010-09-20,8.494361877441406,1.4040000438690186,19.282093048095703
2010-09-21,8.510555267333984,1.3846670389175415,19.06978988647461
2010-09-22,8.629923820495605,1.324666976928711,18.660335540771484
2010-09-23,8.665011405944824,1.3040000200271606,18.52385902404785
2010-09-24,8.766984939575195,1.340000033378601,18.78923988342285
2010-09-27,8.732192039489746,1.3686670064926147,18.75133514404297
2010-09-28,8.603229522705078,1.4266669750213623,18.713417053222656
2010-09-29,8.61852741241455,1.4653329849243164,18.576934814453125
2010-09-30,8.50995922088623,1.3606669902801514,18.569351196289062
2010-10-01,8.473068237304688,1.3733329772949219,18.48594093322754
2010-10-04,8.35669994354248,1.3993330001831055,18.129575729370117
2010-10-05,8.665610313415527,1.4079999923706055,18.463191986083984
2010-10-06,8.673110008239746,1.3639999628067017,18.52385902404785
2010-10-07,8.674010276794434,1.3619999885559082,18.59968376159668
2010-10-08,8.819463729858398,1.3619999885559082,18.630002975463867
