,Symbol,Security Name,Market Category,Test Issue,Financial Status,Round Lot Size,ETF,NextShares
0,AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,G,N,N,100,N,N
1,AACBR,Artius II Acquisition Inc. - Rights,G,N,N,100,N,N
2,AACBU,Artius II Acquisition Inc. - Units,G,N,N,100,N,N
3,AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",S,N,N,100,N,N
4,AADR,AdvisorShares Dorsey Wright ADR ETF,G,N,N,100,Y,N
5,AAEQ,Alpha Architect US Equity 2 ETF,G,N,N,100,Y,N
6,AAL,"American Airlines Group, Inc. - Common Stock",Q,N,N,100,N,N
7,AALG,Leverage Shares 2X Long AAL Daily ETF,G,N,N,100,Y,N
8,AAME,Atlantic American Corporation - Common Stock,G,N,N,100,N,N
9,AAOI,"Applied Optoelectronics, Inc. - Common Stock",G,N,N,100,N,N
10,AAON,"AAON, Inc. - Common Stock",Q,N,N,100,N,N
11,AAPB,GraniteShares 2x Long AAPL Daily ETF,G,N,N,100,Y,N
12,AAPD,Direxion Daily AAPL Bear 1X Shares,G,N,N,100,Y,N
13,AAPG,Ascentage Pharma Group International - American Depository Shares,G,N,N,100,N,N
14,AAPL,Apple Inc. - Common Stock,Q,N,N,100,N,N
15,AAPU,Direxion Daily AAPL Bull 2X Shares,G,N,N,100,Y,N
16,AARD,"Aardvark Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N
17,AAUS,Alpha Architect US Equity ETF,G,N,N,100,Y,N
18,AAVM,Alpha Architect Global Factor Equity ETF,G,N,N,100,Y,N
19,AAXJ,iShares MSCI All Country Asia ex Japan ETF,G,N,N,100,Y,N
20,ABAT,American Battery Technology Company - Common Stock,S,N,N,100,N,N
21,ABCL,AbCellera Biologics Inc. - Common Shares,Q,N,N,100,N,N
22,ABCS,Alpha Blue Capital US Small-Mid Cap Dynamic ETF,G,N,N,100,Y,N
23,ABEO,Abeona Therapeutics Inc. - Common Stock,S,N,N,100,N,N
24,ABI,VictoryShares Pioneer Asset-Based Income ETF,G,N,N,100,Y,N
25,ABIG,Argent Large Cap ETF,G,N,N,100,Y,N
26,ABLV,Able View Global Inc. - Class B Ordinary Shares,S,N,D,100,N,N
27,ABLVW,Able View Global Inc. - Warrant,S,N,N,100,N,N
28,ABNB,"Airbnb, Inc. - Class A Common Stock",Q,N,N,100,N,N
29,ABNG,Leverage Shares 2x Long ABNB Daily ETF,G,N,N,100,Y,N
30,ABOS,"Acumen Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N
31,ABP,"Abpro Holdings, Inc - Common Stock",S,N,N,100,N,N
32,ABPWW,"Abpro Holdings, Inc - Warrant",S,N,N,100,N,N
33,ABSI,Absci Corporation - Common Stock,Q,N,N,100,N,N
34,ABTC,American Bitcoin Corp. - Class A Common Stock,S,N,N,100,N,N
35,ABTS,Abits Group Inc - Ordinary Shares,S,N,N,100,N,N
36,ABUS,Arbutus Biopharma Corporation - Common Stock,Q,N,N,100,N,N
37,ABVC,"ABVC BioPharma, Inc. - Common Stock",S,N,N,100,N,N
38,ABVE,Above Food Ingredients Inc. - Common Stock,G,N,E,100,N,N
39,ABVEW,Above Food Ingredients Inc. - Warrant,G,N,E,100,N,N
40,ABVX,Abivax SA - American Depositary Shares,G,N,N,100,N,N
41,ACAD,ACADIA Pharmaceuticals Inc. - Common Stock,Q,N,N,100,N,N
42,ACB,Aurora Cannabis Inc. - Common Shares,S,N,N,100,N,N
43,ACCL,Acco Group Holdings Limited - Class A Ordinary Shares,S,N,N,100,N,N
44,ACDC,ProFrac Holding Corp. - Class A Common Stock,Q,N,N,100,N,N
45,ACEP,ARS Core Equity Portfolio ETF,G,N,N,100,Y,N
46,ACET,"Adicet Bio, Inc. - Common Stock",S,N,N,100,N,N
47,ACFN,"Acorn Energy, Inc. - Common Stock",S,N,N,100,N,N
48,ACGL,Arch Capital Group Ltd. - Common Stock,Q,N,N,100,N,N
49,ACGLN,"Arch Capital Group Ltd. - Depositary Shares, each Representing a 1/1,000th Interest in a 4.550% Non-Cumulative Preferred Share, Series G",Q,N,N,100,N,N
50,ACGLO,"Arch Capital Group Ltd. - Depositary Shares Each Representing 1/1,000th Interest in a Share of5.45% Non-Cumulative Preferred Shares, Series F",Q,N,N,100,N,N
51,ACHC,"Acadia Healthcare Company, Inc. - Common Stock",Q,N,N,100,N,N
52,ACHV,"Achieve Life Sciences, Inc.  - Common Shares",S,N,N,100,N,N
53,ACIC,American Coastal Insurance Corporation - Common Stock,S,N,N,100,N,N
54,ACIU,AC Immune SA - Common Stock,G,N,N,100,N,N
55,ACIW,"ACI Worldwide, Inc. - Common Stock",Q,N,N,100,N,N
56,ACLS,"Axcelis Technologies, Inc. - Common Stock",Q,N,N,100,N,N
57,ACLX,"Arcellx, Inc. - Common Stock",Q,N,N,100,N,N
58,ACMR,"ACM Research, Inc. - Class A Common Stock",G,N,N,100,N,N
59,ACNB,ACNB Corporation - Common Stock,S,N,N,100,N,N
60,ACNT,Ascent Industries Co. - Common Stock,G,N,N,100,N,N
61,ACOG,Alpha Cognition Inc. - Common Stock,S,N,N,100,N,N
62,ACON,"Aclarion, Inc. - Common Stock",S,N,N,100,N,N
63,ACONW,"Aclarion, Inc. - Warrant",S,N,N,100,N,N
64,ACRS,"Aclaris Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N
65,ACRV,"Acrivon Therapeutics, Inc. - Common Stock",G,N,N,100,N,N
66,ACT,"Enact Holdings, Inc. - Common Stock",Q,N,N,100,N,N
67,ACTG,Acacia Research Corporation - Common Stock,Q,N,N,100,N,N
68,ACTU,"Actuate Therapeutics, Inc. - Common stock",G,N,N,100,N,N
69,ACWI,iShares MSCI ACWI ETF,G,N,N,100,Y,N
70,ACWX,iShares MSCI ACWI ex U.S. ETF,G,N,N,100,Y,N
71,ACXP,"Acurx Pharmaceuticals, Inc. - Common Stock",S,N,N,100,N,N
72,ADACU,American Drive Acquisition Company - Units,G,N,N,100,N,N
73,ADAG,"Adagene Inc. - ADS, each representing 1.25 ordinary shares",G,N,N,100,N,N
74,ADAM,"Adamas Trust, Inc. - Common Stock",Q,N,N,100,N,N
75,ADAMG,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2030",Q,N,N,100,N,N
76,ADAMH,"Adamas Trust, Inc. - 9.875% Senior Notes Due 2030",G,N,N,100,N,N
77,ADAMI,"Adamas Trust, Inc. - 9.125% Senior Notes Due 2029",Q,N,N,100,N,N
78,ADAML,"Adamas Trust, Inc. - 6.875% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock, $0.01 par value per share",Q,N,N,100,N,N
79,ADAMM,"Adamas Trust, Inc. - 7.875% Series E Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100,N,N
80,ADAMN,"Adamas Trust, Inc. - 8.00% Series D Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100,N,N
81,ADAMO,"Adamas Trust, Inc. - 9.250% Senior Notes Due 2031",Q,N,N,100,N,N
82,ADAMZ,"Adamas Trust, Inc. - 7.000% Series G Cumulative Redeemable Preferred Stock, $0.01 par value per share",Q,N,N,100,N,N
83,ADBE,Adobe Inc. - Common Stock,Q,N,N,40,N,N
84,ADBG,Leverage Shares 2X Long ADBE Daily ETF,G,N,N,100,Y,N
85,ADEA,Adeia Inc.  - Common Stock,Q,N,N,100,N,N
86,ADGM,"Adagio Medical Holdings, Inc - Common Stock",S,N,N,100,N,N
87,ADI,"Analog Devices, Inc. - Common Stock",Q,N,N,100,N,N
88,ADIL,"Adial Pharmaceuticals, Inc - Common Stock",S,N,D,100,N,N
89,ADMA,ADMA Biologics Inc - Common Stock,G,N,N,100,N,N
90,ADP,"Automatic Data Processing, Inc. - Common Stock",Q,N,N,40,N,N
91,ADPT,Adaptive Biotechnologies Corporation - Common Stock,Q,N,N,100,N,N
92,ADSE,ADS-TEC ENERGY PLC - Ordinary Shares,S,N,N,100,N,N
93,ADSEW,ADS-TEC ENERGY PLC - Warrant,S,N,N,100,N,N
94,ADSK,"Autodesk, Inc. - Common Stock",Q,N,N,40,N,N
95,ADTN,"ADTRAN Holdings, Inc. - Common Stock",Q,N,N,100,N,N
96,ADTX,"Aditxt, Inc. - Common Stock",S,N,D,100,N,N
97,ADUR,Aduro Clean Technologies Inc. - Common Stock,S,N,N,100,N,N
98,ADUS,Addus HomeCare Corporation - Common Stock,Q,N,N,100,N,N
99,ADV,Advantage Solutions Inc.  - Class A Common Stock,Q,N,D,100,N,N
100,ADVB,Advanced Biomed Inc. - Common Stock,S,N,D,100,N,N
101,ADXN,Addex Therapeutics Ltd - American Depositary Shares,S,N,N,100,N,N
102,AEAQ,Activate Energy Acquisition Corp. - Class A Ordinary Share,G,N,N,100,N,N
103,AEAQU,Activate Energy Acquisition Corp. - Unit,G,N,N,100,N,N
104,AEAQW,Activate Energy Acquisition Corp. - Warrant,G,N,N,100,N,N
105,AEBI,Aebi Schmidt Holding AG - Common Stock,Q,N,N,100,N,N
106,AEC,Anfield Energy Inc. - Common Shares,S,N,N,100,N,N
107,AEHL,Antelope Enterprise Holdings Limited - Class A Ordinary Shares,S,N,E,100,N,N
108,AEHR,Aehr Test Systems - Common Stock,S,N,N,100,N,N
109,AEI,Alset Inc. - Common Stock,S,N,N,100,N,N
110,AEIS,"Advanced Energy Industries, Inc. - Common Stock",Q,N,N,100,N,N
111,AEMD,"Aethlon Medical, Inc. - Common Stock",S,N,N,100,N,N
112,AENT,Alliance Entertainment Holding Corporation - common stock,S,N,N,100,N,N
113,AENTW,Alliance Entertainment Holding Corporation - Warrants,S,N,N,100,N,N
114,AEP,"American Electric Power Company, Inc. - Common Stock",Q,N,N,100,N,N
115,AERT,"Aeries Technology, Inc. - Class A Ordinary Share",S,N,D,100,N,N
116,AERTW,"Aeries Technology, Inc. - Warrant",S,N,N,100,N,N
117,AEVA,"Aeva Technologies, Inc. - Common Stock",Q,N,N,100,N,N
118,AEVAW,"Aeva Technologies, Inc. - Redeemable Warrants",Q,N,N,100,N,N
119,AEYE,"AudioEye, Inc. - Common Stock",S,N,N,100,N,N
120,AFBI,"Affinity Bancshares, Inc. - Common Stock",S,N,N,100,N,N
121,AFCG,Advanced Flower Capital Inc. - Common Stock,G,N,N,100,N,N
122,AFJK,"Aimei Health Technology Co., Ltd - Ordinary Share",G,N,N,100,N,N
123,AFJKR,"Aimei Health Technology Co., Ltd - Right",G,N,N,100,N,N
124,AFJKU,"Aimei Health Technology Co., Ltd - Unit",G,N,N,100,N,N
125,AFOS,ARS Focused Opportunity Strategy ETF,G,N,N,100,Y,N
126,AFRI,Forafric Global PLC - Ordinary Shares,S,N,N,100,N,N
127,AFRIW,Forafric Global PLC - Warrants,S,N,N,100,N,N
128,AFRM,"Affirm Holdings, Inc. - Class A Common Stock",Q,N,N,100,N,N
129,AFSC,abrdn Focused U.S. Small Cap Active ETF,G,N,N,100,Y,N
130,AFYA,Afya Limited - Class A Common Shares,Q,N,N,100,N,N
131,AGAE,Allied Gaming & Entertainment Inc. - Common Stock,S,N,D,100,N,N
132,AGCC,Agencia Comercial Spirits Ltd - Class A Ordinary Share,S,N,N,100,N,N
133,AGEM,abrdn Emerging Markets Dividend Active ETF,G,N,N,100,Y,N
134,AGEN,Agenus Inc. - Common Stock,S,N,N,100,N,N
135,AGGA,EA Astoria Dynamic Core US Fixed Income ETF,G,N,N,100,Y,N
136,AGH,Aureus Greenway Holdings Inc. - Common Stock,S,N,N,100,N,N
137,AGIO,"Agios Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N
138,AGIX,KraneShares Artificial Intelligence & Technology ETF,G,N,N,100,Y,N
139,AGMH,AGM Group Holdings Inc. - Class A Ordinary Shares,S,N,N,100,N,N
140,AGMI,Themes Silver Miners ETF,G,N,N,100,Y,N
141,AGNC,AGNC Investment Corp. - Common Stock,Q,N,N,100,N,N
142,AGNCL,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.75% Series G Fixed-Rate Reset Cumulative Redeemable Preferred Stock",Q,N,N,100,N,N
143,AGNCM,AGNC Investment Corp. - Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock,Q,N,N,100,N,N
144,AGNCN,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100,N,N
145,AGNCO,"AGNC Investment Corp. - Depositary Shares, each representing a 1/1,000th interest in a share of Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock",Q,N,N,100,N,N
146,AGNCP,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock",Q,N,N,100,N,N
147,AGNCZ,"AGNC Investment Corp. - Depositary Shares Each Representing a 1/1,000th Interest in a Share of 8.75% Series H Fixed-Rate Cumulative Redeemable Preferred Stock",Q,N,N,100,N,N
148,AGNG,Global X Aging Population ETF,G,N,N,100,Y,N
149,AGPU,Axe Compute Inc. - Common Stock,S,N,N,100,N,N
150,AGRZ,Agroz Inc. - Ordinary Shares,S,N,N,100,N,N
151,AGYS,"Agilysys, Inc. - Common Stock",Q,N,N,100,N,N
152,AGZD,WisdomTree Interest Rate Hedged U.S. Aggregate Bond Fund,G,N,N,100,Y,N
153,AHCO,AdaptHealth Corp.  - Common Stock,S,N,N,100,N,N
154,AHG,Akso Health Group - American Depositary Shares,S,N,N,100,N,N
155,AHMA,Ambitions Enterprise Management Co. L.L.C - Class A Ordinary Shares,S,N,N,100,N,N
156,AIA,iShares Asia 50 ETF,G,N,N,100,Y,N
157,AIFD,TCW Artificial Intelligence ETF,G,N,N,100,Y,N
158,AIFF,"Firefly Neuroscience, Inc.  - Common Stock",S,N,N,100,N,N
159,AIFU,AIFU Inc. - Class A Ordinary Share,Q,N,N,100,N,N
160,AIHS,Senmiao Technology Limited - Common Stock,S,N,D,100,N,N
161,AIIO,Robo.ai Inc. - Class B Ordinary Shares,S,N,D,100,N,N
162,AIIOW,Robo.ai Inc. - Warrant,S,N,N,100,N,N
163,AIMD,"Ainos, Inc. - Common Stock",S,N,N,100,N,N
164,AIMDW,"Ainos, Inc. - warrants",S,N,N,100,N,N
165,AIOT,"PowerFleet, Inc. - Common Stock",G,N,N,100,N,N
166,AIP,"Arteris, Inc.  - Common Stock",G,N,N,100,N,N
167,AIPI,REX AI Equity Premium Income ETF,G,N,N,100,Y,N
168,AIPO,Defiance AI & Power Infrastructure ETF,G,N,N,100,Y,N
169,AIQ,Global X Artificial Intelligence & Technology ETF,G,N,N,100,Y,N
170,AIRE,reAlpha Tech Corp. - Common Stock,S,N,D,100,N,N
171,AIRG,"Airgain, Inc. - Common Stock",S,N,N,100,N,N
172,AIRJ,AirJoule Technologies Corporation - Class A Common Stock,S,N,N,100,N,N
173,AIRJW,AirJoule Technologies Corporation - Warrant,S,N,N,100,N,N
174,AIRO,"AIRO Group Holdings, Inc. - Common Stock",G,N,N,100,N,N
175,AIRR,First Trust RBA American Industrial Renaissance ETF,G,N,N,100,Y,N
176,AIRS,"AirSculpt Technologies, Inc. - Common Stock",G,N,N,100,N,N
177,AIRT,"Air T, Inc. - Common Stock",S,N,N,100,N,N
178,AIRTP,"Air T, Inc. - Trust Preferred Securities",G,N,N,100,N,N
179,AISP,"Airship AI Holdings, Inc - Class A Common Stock",G,N,N,100,N,N
180,AISPW,"Airship AI Holdings, Inc - Warrants",S,N,N,100,N,N
181,AIXC,"AIxCrypto Holdings, Inc. - Common Stock",S,N,N,100,N,N
182,AIXI,XIAO-I Corporation - American Depositary Shares,G,N,D,100,N,N
183,AKAM,"Akamai Technologies, Inc. - Common Stock",Q,N,N,100,N,N
184,AKAN,Akanda Corp. - Common Shares,S,N,N,100,N,N
185,AKBA,"Akebia Therapeutics, Inc. - Common Stock",S,N,N,100,N,N
186,AKTS,"Aktis Oncology, Inc. - Common stock",Q,N,N,100,N,N
187,AKTX,Akari Therapeutics Plc - American Depositary Shares,S,N,D,100,N,N
188,ALAB,"Astera Labs, Inc. - Common Stock",Q,N,N,100,N,N
189,ALAR,Alarum Technologies Ltd. - American Depositary Shares,S,N,N,100,N,N
190,ALBG,Leverage Shares 2X Long ALB Daily ETF,G,N,N,100,Y,N
191,ALBT,Avalon GloboCare Corp. - Common Stock,S,N,N,100,N,N
192,ALCO,"Alico, Inc. - Common Stock",Q,N,N,100,N,N
193,ALCY,Alchemy Investments Acquisition Corp 1 - Class A Ordinary Shares,S,N,N,100,N,N
194,ALCYU,Alchemy Investments Acquisition Corp 1 - Units,S,N,N,100,N,N
195,ALCYW,Alchemy Investments Acquisition Corp 1 - Warrants,S,N,N,100,N,N
196,ALDF,Aldel Financial II Inc. - Class A Ordinary Shares,G,N,N,100,N,N
197,ALDFU,Aldel Financial II Inc. - Units,G,N,N,100,N,N
198,ALDFW,Aldel Financial II Inc. - Warrants,G,N,N,100,N,N
199,ALDX,"Aldeyra Therapeutics, Inc. - Common Stock",S,N,N,100,N,N
200,ALEC,"Alector, Inc. - Common Stock",Q,N,N,100,N,N
201,ALF,Centurion Acquisition Corp. - Class A Ordinary Shares,G,N,N,100,N,N
202,ALFUU,Centurion Acquisition Corp. - Unit,G,N,N,100,N,N
203,ALFUW,Centurion Acquisition Corp. - Warrant,G,N,N,100,N,N
204,ALGM,"Allegro MicroSystems, Inc. - Common Stock",Q,N,N,100,N,N
205,ALGN,"Align Technology, Inc. - Common Stock",Q,N,N,100,N,N
206,ALGS,"Aligos Therapeutics, Inc. - Common stock",S,N,N,100,N,N
207,ALGT,Allegiant Travel Company - Common Stock,Q,N,N,100,N,N
208,ALHC,"Alignment Healthcare, Inc. - Common Stock",Q,N,N,100,N,N
209,ALIL,Argent Focused Small Cap ETF,G,N,N,100,Y,N
210,ALIS,Calisa Acquisition Corp - Ordinary shares,G,N,N,100,N,N
211,ALISR,Calisa Acquisition Corp - Right,G,N,N,100,N,N
212,ALISU,Calisa Acquisition Corp - Units,G,N,N,100,N,N
213,ALKS,Alkermes plc - Ordinary Shares,Q,N,N,100,N,N
214,ALKT,"Alkami Technology, Inc. - Common Stock",Q,N,N,100,N,N
215,ALLO,"Allogene Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N
216,ALLR,"Allarity Therapeutics, Inc. - Common stock",S,N,N,100,N,N
217,ALLT,Allot Ltd. - Ordinary Shares,Q,N,N,100,N,N
218,ALLW,SPDR Bridgewater All Weather ETF,G,N,N,100,Y,N
219,ALM,Almonty Industries Inc. - Common Shares,S,N,N,100,N,N
220,ALMS,Alumis Inc. - Common Stock,Q,N,N,100,N,N
221,ALMU,"Aeluma, Inc. - Common Stock",S,N,N,100,N,N
222,ALNT,Allient Inc. - Common Stock,G,N,N,100,N,N
223,ALNY,"Alnylam Pharmaceuticals, Inc. - Common Stock",Q,N,N,40,N,N
224,ALOT,"AstroNova, Inc. - Common Stock",G,N,N,100,N,N
225,ALOVU,"Aldabra 4 Liquidity Opportunity Vehicle, Inc. - Units",G,N,N,100,N,N
226,ALPS,ALPS Group Inc - Ordinary Share,G,N,N,100,N,N
227,ALRM,"Alarm.com Holdings, Inc. - Common Stock",Q,N,N,100,N,N
228,ALRS,Alerus Financial Corporation - Common Stock,S,N,N,100,N,N
229,ALT,"Altimmune, Inc. - Common Stock",G,N,N,100,N,N
230,ALTI,"AlTi Global, Inc. - Class A Common Stock",S,N,N,100,N,N
231,ALTO,"Alto Ingredients, Inc. - Common Stock",S,N,N,100,N,N
232,ALTS,ALT5 Sigma Corporation - Common Stock,S,N,D,100,N,N
233,ALTY,Global X Alternative Income ETF,G,N,N,100,Y,N
234,ALVO,Alvotech - Ordinary Shares,G,N,N,100,N,N
235,ALVOW,Alvotech - Warrant,G,N,N,100,N,N
236,ALXO,ALX Oncology Holdings Inc. - Common Stock,Q,N,N,100,N,N
237,ALZN,"Alzamend Neuro, Inc. - Common Stock",S,N,N,100,N,N
238,AMAL,Amalgamated Financial Corp. - Common Stock,G,N,N,100,N,N
239,AMAT,"Applied Materials, Inc. - Common Stock",Q,N,N,100,N,N
240,AMBA,"Ambarella, Inc. - Ordinary Shares",Q,N,N,100,N,N
241,AMBR,Amber International Holding Limited - American Depositary Shares,G,N,N,100,N,N
242,AMCI,AMC Robotics Corporation - Common Stock,S,N,N,100,N,N
243,AMCX,AMC Networks Inc. - Class A Common Stock,Q,N,N,100,N,N
244,AMD,"Advanced Micro Devices, Inc. - Common Stock",Q,N,N,100,N,N
245,AMDD,Direxion Daily AMD Bear 1X Shares,G,N,N,100,Y,N
246,AMDG,Leverage Shares 2X Long AMD Daily ETF,G,N,N,100,Y,N
247,AMDL,GraniteShares 2x Long AMD Daily ETF,G,N,N,100,Y,N
248,AMDU,Defiance Leveraged Long + Income AMD ETF,G,N,N,100,Y,N
249,AMGN,Amgen Inc. - Common Stock,Q,N,N,40,N,N
250,AMID,Argent Mid Cap ETF,G,N,N,100,Y,N
251,AMIX,"Autonomix Medical, Inc. - Common Stock",S,N,D,100,N,N
252,AMKR,"Amkor Technology, Inc. - Common Stock",Q,N,N,100,N,N
253,AMLX,"Amylyx Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N
254,AMOD,"Alpha Modus Holdings, Inc. - Class A Common Stock",S,N,D,100,N,N
255,AMODW,"Alpha Modus Holdings, Inc. - Warrant",S,N,N,100,N,N
256,AMPG,"Amplitech Group, Inc. - Common Stock",S,N,N,100,N,N
257,AMPGW,"Amplitech Group, Inc. - Warrants",S,N,N,100,N,N
258,AMPH,"Amphastar Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N
259,AMPL,"Amplitude, Inc. - Class A Common Stock",S,N,N,100,N,N
260,AMRN,Amarin Corporation plc - American Depositary Shares,S,N,N,100,N,N
261,AMRX,"Amneal Pharmaceuticals, Inc. - Class A Common Stock",Q,N,N,100,N,N
262,AMSC,American Superconductor Corporation - Common Stock,Q,N,N,100,N,N
263,AMSF,"AMERISAFE, Inc. - Common Stock",Q,N,N,100,N,N
264,AMST,Amesite Inc. - Common Stock,S,N,D,100,N,N
265,AMTX,"Aemetis, Inc - Common Stock",G,N,N,100,N,N
266,AMUN,abrdn Ultra Short Municipal Income Active ETF,G,N,N,100,Y,N
267,AMUU,Direxion Daily AMD Bull 2X Shares,G,N,N,100,Y,N
268,AMWD,American Woodmark Corporation - Common Stock,Q,N,N,100,N,N
269,AMYY,GraniteShares YieldBOOST AMD ETF,G,N,N,100,Y,N
270,AMZD,Direxion Daily AMZN Bear 1X Shares,G,N,N,100,Y,N
271,AMZN,"Amazon.com, Inc. - Common Stock",Q,N,N,100,N,N
272,AMZU,Direxion Daily AMZN Bull 2X Shares,G,N,N,100,Y,N
273,AMZZ,GraniteShares 2x Long AMZN Daily ETF,G,N,N,100,Y,N
274,ANAB,"AnaptysBio, Inc. - Common Stock",Q,N,N,100,N,N
275,ANDE,"The Andersons, Inc. - Common Stock",Q,N,N,100,N,N
276,ANEB,"Anebulo Pharmaceuticals, Inc. - Common Stock",S,N,N,100,N,N
277,ANEL,Defiance Daily Target 2x Long ANET ETF,G,N,N,100,Y,N
278,ANGH,Anghami Inc. - Ordinary Shares,S,N,N,100,N,N
279,ANGHW,Anghami Inc. - Warrants,S,N,N,100,N,N
280,ANGI,Angi Inc. - Class A Common Stock,Q,N,N,100,N,N
281,ANGL,VanEck Fallen Angel High Yield Bond ETF,G,N,N,100,Y,N
282,ANGO,"AngioDynamics, Inc. - Common Stock",Q,N,N,100,N,N
283,ANIK,Anika Therapeutics Inc. - Common Stock,Q,N,N,100,N,N
284,ANIP,"ANI Pharmaceuticals, Inc. - Common Stock",G,N,N,100,N,N
285,ANIX,"Anixa Biosciences, Inc. - Common Stock",S,N,N,100,N,N
286,ANL,Adlai Nortye Ltd. - American Depositary Shares,G,N,N,100,N,N
287,ANNA,"AleAnna, Inc. - Class A Common Stock",S,N,N,100,N,N
288,ANNAW,"AleAnna, Inc. - Warrant",S,N,N,100,N,N
289,ANNX,"Annexon, Inc. - common stock",Q,N,N,100,N,N
290,ANPA,Rich Sparkle Holdings Limited - Ordinary Shares,S,N,N,100,N,N
291,ANSC,Agriculture & Natural Solutions Acquisition Corporation - Class A Ordinary Shares,G,N,N,100,N,N
292,ANSCU,Agriculture & Natural Solutions Acquisition Corporation - Unit,G,N,N,100,N,N
293,ANSCW,Agriculture & Natural Solutions Acquisition Corporation - Warrant,G,N,N,100,N,N
294,ANTA,Antalpha Platform Holding Company - Class A Ordinary Shares,G,N,N,100,N,N
295,ANTX,"AN2 Therapeutics, Inc. - Common Stock",Q,N,N,100,N,N
296,ANY,Sphere 3D Corp. - Common Shares,S,N,D,100,N,N
297,AOHY,Angel Oak High Yield Opportunities ETF,G,N,N,100,Y,N
298,AOSL,Alpha and Omega Semiconductor Limited - Common Shares,Q,N,N,100,N,N
299,AOTG,AOT Growth and Innovation ETF,G,N,N,100,Y,N
300,AOUT,"American Outdoor Brands, Inc. - Common Stock",Q,N,N,100,N,N
301,APA,APA Corporation - Common Stock,Q,N,N,100,N,N
302,APAC,StoneBridge Acquisition II Corporation - Class A Ordinary Shares,S,N,N,100,N,N
303,APACR,StoneBridge Acquisition II Corporation - Rights,S,N,N,100,N,N
304,APACU,StoneBridge Acquisition II Corporation - Units,S,N,N,100,N,N
305,APAD,A Paradise Acquisition Corp. - Class A Ordinary Shares,G,N,N,100,N,N
306,APADR,A Paradise Acquisition Corp. - Rights,G,N,N,100,N,N
307,APADU,A Paradise Acquisition Corp. - Unit,G,N,N,100,N,N
308,APEI,"American Public Education, Inc. - Common Stock",Q,N,N,100,N,N
309,APGE,"Apogee Therapeutics, Inc. - Common Stock",G,N,N,100,N,N
310,API,"Agora, Inc. - ADS",Q,N,N,100,N,N
311,APLD,Applied Digital Corporation - Common Stock,Q,N,N,100,N,N
312,APLM,Apollomics Inc. - Class A Ordinary Shares,S,N,N,100,N,N
313,APLMW,Apollomics Inc. - Warrant,S,N,N,100,N,N
314,APLS,"Apellis Pharmaceuticals, Inc. - Common Stock",Q,N,N,100,N,N
315,APLT,"Applied Therapeutics, Inc. - Common Stock",S,N,D,100,N,N
316,APM,Aptorum Group Limited - Class A Ordinary Shares,S,N,N,100,N,N
317,APOG,"Apogee Enterprises, Inc. - Common Stock",Q,N,N,100,N,N
318,APP,Applovin Corporation - Class A Common Stock,Q,N,N,40,N,N
319,APPF,"AppFolio, Inc. - Class A Common Stock",G,N,N,40,N,N
320,APPN,Appian Corporation - Class A Common Stock,G,N,N,100,N,N
321,APPS,"Digital Turbine, Inc. - Common Stock",S,N,N,100,N,N
322,APPX,Tradr 2X Long APP Daily ETF,G,N,N,100,Y,N
323,APRE,"Aprea Therapeutics, Inc. - Common Stock",S,N,N,100,N,N
324,APVO,Aptevo Therapeutics Inc. - Common Stock,S,N,N,100,N,N
325,APWC,"Asia Pacific Wire & Cable Corporation Limited  - Common shares, Par value .01 per share",S,N,N,100,N,N
326,APXT,Apex Treasury Corporation - Class A Ordinary Share,G,N,N,100,N,N
327,APXTU,Apex Treasury Corporation - Units,G,N,N,100,N,N
328,APXTW,Apex Treasury Corporation - Warrants,G,N,N,100,N,N
329,APYX,Apyx Medical Corporation - Common Stock,Q,N,N,100,N,N
330,AQB,"AquaBounty Technologies, Inc. - Common Stock",S,N,N,100,N,N
331,AQMS,"Aqua Metals, Inc. - Common Stock",S,N,N,100,N,N
332,AQST,"Aquestive Therapeutics, Inc. - Common Stock",G,N,N,100,N,N
333,AQWA,Global X Clean Water ETF,G,N,N,100,Y,N
334,ARAI,Arrive AI Inc. - Common Stock,G,N,N,100,N,N
